2025-05-24 16:11:27,137 - Packets received in last second: 0
2025-05-24 16:11:28,225 - Batch processed 100 packets. CPU: 0.0%, RAM: 88.4%
Received Packet 00000001 | Source IP: 136.70.231.240 | Destination IP: 172.16.0.10 | Source Port: 22641 | Destination Port: 22 | Protocol: UDP | Flags:  | TTL: 74 | Volume: 418 | Spoofed: 1 | Attack Type: UDP_Flood
Received Packet 00000004 | Source IP: 253.193.15.55 | Destination IP: 192.168.1.200 | Source Port: 10296 | Destination Port: 53 | Protocol: TCP | Flags:  | TTL: 75 | Volume: 639 | Spoofed: 1 | Attack Type: HTTP_Flood
Received Packet 00000011 | Source IP: 205.216.47.204 | Destination IP: 10.0.0.50 | Source Port: 59129 | Destination Port: 53 | Protocol: UDP | Flags:  | TTL: 81 | Volume: 1045 | Spoofed: 1 | Attack Type: UDP_Flood
Received Packet 00000028 | Source IP: 185.179.188.16 | Destination IP: 192.168.1.200 | Source Port: 36906 | Destination Port: 22 | Protocol: UDP | Flags:  | TTL: 212 | Volume: 86 | Spoofed: 0 | Attack Type: UDP_Flood
Received Packet 00000064 | Source IP: 223.55.64.136 | Destination IP: 192.168.1.200 | Source Port: 20433 | Destination Port: 22 | Protocol: UDP | Flags:  | TTL: 107 | Volume: 146 | Spoofed: 0 | Attack Type: UDP_Flood
Received Packet 00000142 | Source IP: 183.176.147.57 | Destination IP: 192.168.1.200 | Source Port: 18673 | Destination Port: 80 | Protocol: TCP | Flags:  | TTL: 215 | Volume: 762 | Spoofed: 0 | Attack Type: HTTP_Flood
Received Packet 00000242 | Source IP: 175.102.225.71 | Destination IP: 192.168.1.200 | Source Port: 15416 | Destination Port: 80 | Protocol: UDP | Flags:  | TTL: 183 | Volume: 358 | Spoofed: 1 | Attack Type: UDP_Flood
Received Packet 00000342 | Source IP: 234.113.172.152 | Destination IP: 192.168.1.200 | Source Port: 14609 | Destination Port: 22 | Protocol: TCP | Flags:  | TTL: 215 | Volume: 1021 | Spoofed: 0 | Attack Type: HTTP_Flood
Received Packet 00000442 | Source IP: 211.41.136.72 | Destination IP: 172.16.0.10 | Source Port: 17479 | Destination Port: 80 | Protocol: TCP | Flags: SYN | TTL: 131 | Volume: 1225 | Spoofed: 1 | Attack Type: SYN_Flood
Received Packet 00000542 | Source IP: 181.179.6.231 | Destination IP: 192.168.1.200 | Source Port: 38889 | Destination Port: 53 | Protocol: TCP | Flags:  | TTL: 174 | Volume: 724 | Spoofed: 1 | Attack Type: HTTP_Flood
Received Packet 00000642 | Source IP: 92.85.178.178 | Destination IP: 172.16.0.10 | Source Port: 47266 | Destination Port: 22 | Protocol: TCP | Flags:  | TTL: 169 | Volume: 1474 | Spoofed: 0 | Attack Type: HTTP_Flood
Received Packet 00000742 | Source IP: 86.215.96.237 | Destination IP: 192.168.1.200 | Source Port: 33088 | Destination Port: 53 | Protocol: UDP | Flags:  | TTL: 76 | Volume: 98 | Spoofed: 1 | Attack Type: UDP_Flood
Received Packet 00000842 | Source IP: 43.27.146.143 | Destination IP: 172.16.0.10 | Source Port: 25910 | Destination Port: 53 | Protocol: UDP | Flags:  | TTL: 232 | Volume: 884 | Spoofed: 1 | Attack Type: UDP_Flood
Received Packet 00000942 | Source IP: 200.7.209.212 | Destination IP: 10.0.0.50 | Source Port: 62836 | Destination Port: 53 | Protocol: TCP | Flags:  | TTL: 56 | Volume: 864 | Spoofed: 0 | Attack Type: HTTP_Flood
Received Packet 00001042 | Source IP: 151.216.29.237 | Destination IP: 192.168.1.200 | Source Port: 19748 | Destination Port: 80 | Protocol: TCP | Flags: SYN | TTL: 155 | Volume: 133 | Spoofed: 0 | Attack Type: SYN_Flood
Received Packet 00001142 | Source IP: 169.63.190.143 | Destination IP: 192.168.1.200 | Source Port: 16243 | Destination Port: 443 | Protocol: TCP | Flags:  | TTL: 107 | Volume: 644 | Spoofed: 1 | Attack Type: HTTP_Flood
Received Packet 00001242 | Source IP: 150.233.124.95 | Destination IP: 10.0.0.50 | Source Port: 47444 | Destination Port: 53 | Protocol: TCP | Flags: SYN | TTL: 228 | Volume: 303 | Spoofed: 1 | Attack Type: SYN_Flood
Received Packet 00001342 | Source IP: 167.158.44.74 | Destination IP: 10.0.0.50 | Source Port: 47495 | Destination Port: 22 | Protocol: UDP | Flags:  | TTL: 227 | Volume: 753 | Spoofed: 0 | Attack Type: UDP_Flood
Received Packet 00001442 | Source IP: 84.37.91.161 | Destination IP: 172.16.0.10 | Source Port: 25921 | Destination Port: 443 | Protocol: TCP | Flags: SYN | TTL: 39 | Volume: 517 | Spoofed: 0 | Attack Type: SYN_Flood
Received Packet 00001542 | Source IP: 67.106.111.193 | Destination IP: 172.16.0.10 | Source Port: 25302 | Destination Port: 80 | Protocol: UDP | Flags:  | TTL: 147 | Volume: 860 | Spoofed: 0 | Attack Type: UDP_Flood
Received Packet 00001642 | Source IP: 11.197.64.2 | Destination IP: 172.16.0.10 | Source Port: 14268 | Destination Port: 443 | Protocol: UDP | Flags:  | TTL: 184 | Volume: 938 | Spoofed: 0 | Attack Type: UDP_Flood
Received Packet 00001742 | Source IP: 64.19.240.178 | Destination IP: 172.16.0.10 | Source Port: 7854 | Destination Port: 53 | Protocol: TCP | Flags: SYN | TTL: 146 | Volume: 1428 | Spoofed: 0 | Attack Type: SYN_Flood
Received Packet 00001841 | Source IP: 132.234.8.215 | Destination IP: 172.16.0.10 | Source Port: 23203 | Destination Port: 22 | Protocol: TCP | Flags:  | TTL: 201 | Volume: 1231 | Spoofed: 0 | Attack Type: HTTP_Flood
Received Packet 00001941 | Source IP: 251.224.4.9 | Destination IP: 172.16.0.10 | Source Port: 26251 | Destination Port: 80 | Protocol: TCP | Flags:  | TTL: 41 | Volume: 913 | Spoofed: 1 | Attack Type: HTTP_Flood
Received Packet 00002041 | Source IP: 123.168.224.112 | Destination IP: 192.168.1.200 | Source Port: 22387 | Destination Port: 443 | Protocol: TCP | Flags: SYN | TTL: 75 | Volume: 664 | Spoofed: 0 | Attack Type: SYN_Flood
Received Packet 00002141 | Source IP: 240.230.78.138 | Destination IP: 10.0.0.50 | Source Port: 31841 | Destination Port: 53 | Protocol: UDP | Flags:  | TTL: 117 | Volume: 704 | Spoofed: 1 | Attack Type: UDP_Flood
Received Packet 00002241 | Source IP: 61.16.29.151 | Destination IP: 172.16.0.10 | Source Port: 10710 | Destination Port: 80 | Protocol: TCP | Flags:  | TTL: 78 | Volume: 1001 | Spoofed: 1 | Attack Type: HTTP_Flood
Received Packet 00002341 | Source IP: 36.7.124.125 | Destination IP: 192.168.1.200 | Source Port: 59040 | Destination Port: 80 | Protocol: UDP | Flags:  | TTL: 125 | Volume: 1097 | Spoofed: 0 | Attack Type: UDP_Flood
Received Packet 00002441 | Source IP: 8.137.124.235 | Destination IP: 10.0.0.50 | Source Port: 38683 | Destination Port: 443 | Protocol: TCP | Flags: SYN | TTL: 49 | Volume: 1193 | Spoofed: 0 | Attack Type: SYN_Flood
Received Packet 00002541 | Source IP: 254.56.104.63 | Destination IP: 192.168.1.200 | Source Port: 5620 | Destination Port: 443 | Protocol: UDP | Flags:  | TTL: 231 | Volume: 405 | Spoofed: 0 | Attack Type: UDP_Flood
Received Packet 00002641 | Source IP: 165.126.168.184 | Destination IP: 10.0.0.50 | Source Port: 11304 | Destination Port: 22 | Protocol: TCP | Flags:  | TTL: 152 | Volume: 1374 | Spoofed: 1 | Attack Type: HTTP_Flood
Received Packet 00002741 | Source IP: 246.171.223.14 | Destination IP: 192.168.1.200 | Source Port: 43990 | Destination Port: 80 | Protocol: UDP | Flags:  | TTL: 190 | Volume: 629 | Spoofed: 1 | Attack Type: UDP_Flood
Received Packet 00002841 | Source IP: 25.12.236.208 | Destination IP: 10.0.0.50 | Source Port: 7758 | Destination Port: 443 | Protocol: TCP | Flags:  | TTL: 81 | Volume: 715 | Spoofed: 1 | Attack Type: HTTP_Flood
Received Packet 00002941 | Source IP: 221.230.36.108 | Destination IP: 172.16.0.10 | Source Port: 52163 | Destination Port: 80 | Protocol: UDP | Flags:  | TTL: 160 | Volume: 404 | Spoofed: 1 | Attack Type: UDP_Flood
Received Packet 00003041 | Source IP: 45.218.108.30 | Destination IP: 192.168.1.200 | Source Port: 27220 | Destination Port: 443 | Protocol: TCP | Flags: SYN | TTL: 244 | Volume: 91 | Spoofed: 0 | Attack Type: SYN_Flood
